measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091646.csv	p1	0.47926	0	133.64	830	0
BD18_1510091646.csv	p2	0.59807	29.359	144.507	1034	59
BD18_1510091646.csv	p3	0.58701	3.463	102.453	1015	7
BD18_1510091646.csv	p4	0.6435	29.359	177.476	1112	59
BD18_1510091646.csv	p5	0.59866	37.767	157.216	1035	76
BD18_1510091646.csv	p6	0.59866	56.752	52.8535	1035	114
BD18_1510091646.csv	p7	0.45247	4.508	152.953	784	9
BD18_1510091646.csv	p8	0.49732	6.411	248.222	861	13
BD18_1510091646.csv	p9	0.53692	7.987	55.4699	929	16
BD18_1510091646.csv	p10	0.54857	7.55	321.113	949	15
BD18_1510091646.csv	p11	0.59866	19.359	209.86	1035	39
BD18_1510091646.csv	p12	0.92481	98.093	126.02	1595	197
BD18_1510091646.csv	p14	0.60681	100.994	119.988	1049	203
